"Hospital Name","Provider Number","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
NS/LIJ HS HUNTINGTON HOSPITAL,330045,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,202,,0.9477,19.9,21.0,38,7/1/2008,6/30/2011
NS/LIJ HS HUNTINGTON HOSPITAL,330045,NY,Heart Failure (HF) 30-Day Readmissions,1017,,1.0203,25.7,25.2,263,7/1/2008,6/30/2011
NS/LIJ HS HUNTINGTON HOSPITAL,330045,NY,Pneumonia (PN) 30-Day Readmissions,692,,1.0232,19.6,19.2,137,7/1/2008,6/30/2011
ST LUKE'S ROOSEVELT HOSPITAL,330046,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,339,,1.1396,21.7,19.1,79,7/1/2008,6/30/2011
ST LUKE'S ROOSEVELT HOSPITAL,330046,NY,Heart Failure (HF) 30-Day Readmissions,710,,1.2948,30.8,23.8,235,7/1/2008,6/30/2011
ST LUKE'S ROOSEVELT HOSPITAL,330046,NY,Pneumonia (PN) 30-Day Readmissions,570,,1.1842,20.0,16.9,123,7/1/2008,6/30/2011
ST MARY'S HOSPITAL AT AMSTERDAM,330047,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,120,,0.9358,22.3,23.9,24,7/1/2008,6/30/2011
ST MARY'S HOSPITAL AT AMSTERDAM,330047,NY,Heart Failure (HF) 30-Day Readmissions,496,,0.9437,23.9,25.3,115,7/1/2008,6/30/2011
ST MARY'S HOSPITAL AT AMSTERDAM,330047,NY,Pneumonia (PN) 30-Day Readmissions,241,,0.9505,18.6,19.5,42,7/1/2008,6/30/2011
NORTHERN DUTCHESS HOSPITAL,330049,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,42,,0.9908,22.4,22.6,9,7/1/2008,6/30/2011
NORTHERN DUTCHESS HOSPITAL,330049,NY,Heart Failure (HF) 30-Day Readmissions,161,,1.0063,22.8,22.6,37,7/1/2008,6/30/2011
NORTHERN DUTCHESS HOSPITAL,330049,NY,Pneumonia (PN) 30-Day Readmissions,102,,1.0539,17.9,17.0,21,7/1/2008,6/30/2011
MEDINA MEMORIAL HOSPITAL,330053,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,39,,0.9765,20.4,20.9,7,7/1/2008,6/30/2011
MEDINA MEMORIAL HOSPITAL,330053,NY,Heart Failure (HF) 30-Day Readmissions,125,,0.9715,23.0,23.6,27,7/1/2008,6/30/2011
MEDINA MEMORIAL HOSPITAL,330053,NY,Pneumonia (PN) 30-Day Readmissions,126,,0.9536,17.0,17.9,19,7/1/2008,6/30/2011
NEW YORK HOSPITAL QUEENS,330055,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,364,,1.1260,23.3,20.7,90,7/1/2008,6/30/2011
NEW YORK HOSPITAL QUEENS,330055,NY,Heart Failure (HF) 30-Day Readmissions,1282,,1.1299,28.0,24.8,367,7/1/2008,6/30/2011
NEW YORK HOSPITAL QUEENS,330055,NY,Pneumonia (PN) 30-Day Readmissions,867,,1.1839,22.6,19.1,205,7/1/2008,6/30/2011
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,73,,1.1244,28.4,25.2,26,7/1/2008,6/30/2011
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,NY,Heart Failure (HF) 30-Day Readmissions,285,,1.1799,29.7,25.2,95,7/1/2008,6/30/2011
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,330056,NY,Pneumonia (PN) 30-Day Readmissions,192,,1.0900,21.0,19.3,45,7/1/2008,6/30/2011
ST PETERS HOSPITAL,330057,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,660,,1.0215,19.4,19.0,129,7/1/2008,6/30/2011
ST PETERS HOSPITAL,330057,NY,Heart Failure (HF) 30-Day Readmissions,796,,0.9245,22.6,24.4,175,7/1/2008,6/30/2011
ST PETERS HOSPITAL,330057,NY,Pneumonia (PN) 30-Day Readmissions,712,,1.0726,19.6,18.2,143,7/1/2008,6/30/2011
FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL,330058,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,31,,1.0741,22.7,21.1,10,7/1/2008,6/30/2011
FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL,330058,NY,Heart Failure (HF) 30-Day Readmissions,174,,0.9619,22.0,22.9,36,7/1/2008,6/30/2011
FINGER LAKE HEALTH-GENEVA GENERAL HOSPITAL,330058,NY,Pneumonia (PN) 30-Day Readmissions,142,,0.8892,15.5,17.4,16,7/1/2008,6/30/2011
MONTEFIORE MEDICAL CENTER,330059,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,598,,1.0956,21.9,20.0,135,7/1/2008,6/30/2011
MONTEFIORE MEDICAL CENTER,330059,NY,Heart Failure (HF) 30-Day Readmissions,1453,,1.1325,27.8,24.6,412,7/1/2008,6/30/2011
MONTEFIORE MEDICAL CENTER,330059,NY,Pneumonia (PN) 30-Day Readmissions,846,,1.1754,22.6,19.2,200,7/1/2008,6/30/2011
LAWRENCE HOSPITAL CENTER,330061,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,52,,1.0791,22.7,21.1,15,7/1/2008,6/30/2011
LAWRENCE HOSPITAL CENTER,330061,NY,Heart Failure (HF) 30-Day Readmissions,442,,1.0071,23.2,23.0,103,7/1/2008,6/30/2011
LAWRENCE HOSPITAL CENTER,330061,NY,Pneumonia (PN) 30-Day Readmissions,356,,1.0308,18.4,17.8,67,7/1/2008,6/30/2011
NEW YORK DOWNTOWN HOSPITAL,330064,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,32,,1.0133,26.3,25.9,9,7/1/2008,6/30/2011
NEW YORK DOWNTOWN HOSPITAL,330064,NY,Heart Failure (HF) 30-Day Readmissions,182,,1.1329,25.6,22.6,54,7/1/2008,6/30/2011
NEW YORK DOWNTOWN HOSPITAL,330064,NY,Pneumonia (PN) 30-Day Readmissions,283,,1.1081,19.3,17.4,60,7/1/2008,6/30/2011
NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,54,,1.0310,23.5,22.8,14,7/1/2008,6/30/2011
NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,Heart Failure (HF) 30-Day Readmissions,177,,1.0680,25.4,23.8,49,7/1/2008,6/30/2011
NIAGARA FALLS MEMORIAL MEDICAL CENTER,330065,NY,Pneumonia (PN) 30-Day Readmissions,124,,1.0088,19.0,18.8,24,7/1/2008,6/30/2011
ST FRANCIS HOSPITAL,330067,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,44,,1.1280,22.7,20.2,15,7/1/2008,6/30/2011
ST FRANCIS HOSPITAL,330067,NY,Heart Failure (HF) 30-Day Readmissions,133,,1.1764,27.2,23.1,46,7/1/2008,6/30/2011
ST FRANCIS HOSPITAL,330067,NY,Pneumonia (PN) 30-Day Readmissions,202,,1.1023,18.3,16.6,42,7/1/2008,6/30/2011
UNITED MEMORIAL MEDICAL CENTER,330073,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,22,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
UNITED MEMORIAL MEDICAL CENTER,330073,NY,Heart Failure (HF) 30-Day Readmissions,197,,1.1463,26.3,22.9,60,7/1/2008,6/30/2011
UNITED MEMORIAL MEDICAL CENTER,330073,NY,Pneumonia (PN) 30-Day Readmissions,190,,1.1039,19.9,18.0,43,7/1/2008,6/30/2011
F F THOMPSON HOSPITAL,330074,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,36,,1.0193,20.1,19.7,8,7/1/2008,6/30/2011
F F THOMPSON HOSPITAL,330074,NY,Heart Failure (HF) 30-Day Readmissions,126,,1.0502,22.4,21.3,31,7/1/2008,6/30/2011
F F THOMPSON HOSPITAL,330074,NY,Pneumonia (PN) 30-Day Readmissions,186,,1.0463,17.6,16.8,35,7/1/2008,6/30/2011
CHS/ SISTERS OF CHARITY HOSPITAL,330078,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,101,,1.0240,22.8,22.2,24,7/1/2008,6/30/2011
CHS/ SISTERS OF CHARITY HOSPITAL,330078,NY,Heart Failure (HF) 30-Day Readmissions,481,,1.0913,26.1,23.9,131,7/1/2008,6/30/2011
CHS/ SISTERS OF CHARITY HOSPITAL,330078,NY,Pneumonia (PN) 30-Day Readmissions,250,,0.9931,17.3,17.5,43,7/1/2008,6/30/2011
ADIRONDACK MEDICAL CENTER,330079,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,49,,1.0026,22.2,22.2,11,7/1/2008,6/30/2011
ADIRONDACK MEDICAL CENTER,330079,NY,Heart Failure (HF) 30-Day Readmissions,128,,0.9934,23.0,23.1,29,7/1/2008,6/30/2011
ADIRONDACK MEDICAL CENTER,330079,NY,Pneumonia (PN) 30-Day Readmissions,122,,1.0638,18.6,17.5,26,7/1/2008,6/30/2011
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,47,,1.0053,22.9,22.8,11,7/1/2008,6/30/2011
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,Heart Failure (HF) 30-Day Readmissions,157,,1.1084,27.2,24.5,49,7/1/2008,6/30/2011
LINCOLN MEDICAL & MENTAL HEALTH CENTER,330080,NY,Pneumonia (PN) 30-Day Readmissions,105,,1.1000,18.9,17.2,25,7/1/2008,6/30/2011
ALICE HYDE MEDICAL CENTER,330084,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,18,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ALICE HYDE MEDICAL CENTER,330084,NY,Heart Failure (HF) 30-Day Readmissions,91,,1.0665,27.5,25.7,29,7/1/2008,6/30/2011
ALICE HYDE MEDICAL CENTER,330084,NY,Pneumonia (PN) 30-Day Readmissions,149,,1.0119,19.0,18.8,29,7/1/2008,6/30/2011
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,71,,1.0196,21.4,21.0,16,7/1/2008,6/30/2011
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,Heart Failure (HF) 30-Day Readmissions,334,,1.1500,27.4,23.8,100,7/1/2008,6/30/2011
AURELIA OSBORN FOX MEMORIAL HOSPITAL,330085,NY,Pneumonia (PN) 30-Day Readmissions,240,,0.9090,15.0,16.4,31,7/1/2008,6/30/2011
MOUNT VERNON HOSPITAL,330086,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,32,,0.9150,21.1,23.1,3,7/1/2008,6/30/2011
MOUNT VERNON HOSPITAL,330086,NY,Heart Failure (HF) 30-Day Readmissions,148,,0.9908,22.7,22.9,33,7/1/2008,6/30/2011
MOUNT VERNON HOSPITAL,330086,NY,Pneumonia (PN) 30-Day Readmissions,63,,1.0590,20.4,19.3,16,7/1/2008,6/30/2011
EASTERN LONG ISLAND HOSPITAL,330088,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,30,,0.9767,19.9,20.3,5,7/1/2008,6/30/2011
EASTERN LONG ISLAND HOSPITAL,330088,NY,Heart Failure (HF) 30-Day Readmissions,117,,0.9672,22.2,22.9,24,7/1/2008,6/30/2011
EASTERN LONG ISLAND HOSPITAL,330088,NY,Pneumonia (PN) 30-Day Readmissions,114,,0.9971,16.8,16.8,19,7/1/2008,6/30/2011
ARNOT OGDEN MEDICAL CENTER,330090,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,341,,1.0729,20.0,18.6,71,7/1/2008,6/30/2011
ARNOT OGDEN MEDICAL CENTER,330090,NY,Heart Failure (HF) 30-Day Readmissions,414,,1.0172,25.6,25.2,107,7/1/2008,6/30/2011
ARNOT OGDEN MEDICAL CENTER,330090,NY,Pneumonia (PN) 30-Day Readmissions,565,,1.1269,22.2,19.7,132,7/1/2008,6/30/2011
COLUMBIA MEMORIAL HOSPITAL,330094,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,133,,0.9930,22.8,22.9,30,7/1/2008,6/30/2011
COLUMBIA MEMORIAL HOSPITAL,330094,NY,Heart Failure (HF) 30-Day Readmissions,386,,0.9868,24.3,24.6,93,7/1/2008,6/30/2011
COLUMBIA MEMORIAL HOSPITAL,330094,NY,Pneumonia (PN) 30-Day Readmissions,340,,1.0258,19.3,18.8,67,7/1/2008,6/30/2011
JONES MEMORIAL HOSPITAL,330096,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,22,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
JONES MEMORIAL HOSPITAL,330096,NY,Heart Failure (HF) 30-Day Readmissions,158,,0.9768,23.0,23.6,35,7/1/2008,6/30/2011
JONES MEMORIAL HOSPITAL,330096,NY,Pneumonia (PN) 30-Day Readmissions,125,,0.9541,17.2,18.0,19,7/1/2008,6/30/2011
NY EYE AND EAR INFIRMARY,330100,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
NY EYE AND EAR INFIRMARY,330100,NY,Heart Failure (HF) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
NY EYE AND EAR INFIRMARY,330100,NY,Pneumonia (PN) 30-Day Readmissions,0,17,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1435,,1.0766,22.1,20.5,320,7/1/2008,6/30/2011
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,Heart Failure (HF) 30-Day Readmissions,2402,,1.1067,27.6,25.0,670,7/1/2008,6/30/2011
NEW YORK-PRESBYTERIAN HOSPITAL,330101,NY,Pneumonia (PN) 30-Day Readmissions,1342,,1.0755,20.0,18.6,272,7/1/2008,6/30/2011
KENMORE MERCY HOSPITAL,330102,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,84,,1.0445,22.8,21.8,21,7/1/2008,6/30/2011
KENMORE MERCY HOSPITAL,330102,NY,Heart Failure (HF) 30-Day Readmissions,321,,0.9023,20.5,22.8,60,7/1/2008,6/30/2011
KENMORE MERCY HOSPITAL,330102,NY,Pneumonia (PN) 30-Day Readmissions,112,,1.0818,17.8,16.4,24,7/1/2008,6/30/2011
OLEAN GENERAL HOSPITAL,330103,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,126,,1.0318,25.1,24.3,33,7/1/2008,6/30/2011
OLEAN GENERAL HOSPITAL,330103,NY,Heart Failure (HF) 30-Day Readmissions,377,,1.0605,26.4,24.9,103,7/1/2008,6/30/2011
OLEAN GENERAL HOSPITAL,330103,NY,Pneumonia (PN) 30-Day Readmissions,276,,0.9548,19.4,20.3,51,7/1/2008,6/30/2011
NYACK HOSPITAL,330104,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,96,,1.0990,24.9,22.7,28,7/1/2008,6/30/2011
NYACK HOSPITAL,330104,NY,Heart Failure (HF) 30-Day Readmissions,506,,1.0854,27.3,25.1,143,7/1/2008,6/30/2011
NYACK HOSPITAL,330104,NY,Pneumonia (PN) 30-Day Readmissions,587,,1.0263,19.0,18.5,113,7/1/2008,6/30/2011
NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,330106,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,923,,1.2065,23.0,19.1,220,7/1/2008,6/30/2011
NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,330106,NY,Heart Failure (HF) 30-Day Readmissions,1550,,1.1461,27.6,24.1,436,7/1/2008,6/30/2011
NS/LIJ HS-NORTH SHORE UNIVERSITY HOSPITAL AT MANHASSET,330106,NY,Pneumonia (PN) 30-Day Readmissions,1262,,1.0480,19.1,18.2,243,7/1/2008,6/30/2011
PECONIC BAY MEDICAL CENTER,330107,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,74,,1.0380,23.5,22.7,19,7/1/2008,6/30/2011
PECONIC BAY MEDICAL CENTER,330107,NY,Heart Failure (HF) 30-Day Readmissions,394,,0.8852,22.4,25.3,81,7/1/2008,6/30/2011
PECONIC BAY MEDICAL CENTER,330107,NY,Pneumonia (PN) 30-Day Readmissions,227,,1.0459,20.5,19.6,49,7/1/2008,6/30/2011
"ST JOSEPH'S HOSPITAL, INC",330108,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,47,,0.9496,21.6,22.8,8,7/1/2008,6/30/2011
"ST JOSEPH'S HOSPITAL, INC",330108,NY,Heart Failure (HF) 30-Day Readmissions,167,,0.9140,23.0,25.1,33,7/1/2008,6/30/2011
"ST JOSEPH'S HOSPITAL, INC",330108,NY,Pneumonia (PN) 30-Day Readmissions,355,,1.1144,22.0,19.7,84,7/1/2008,6/30/2011
BERTRAND CHAFFEE HOSPITAL,330111,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,13,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
BERTRAND CHAFFEE HOSPITAL,330111,NY,Heart Failure (HF) 30-Day Readmissions,61,,0.9527,24.5,25.7,12,7/1/2008,6/30/2011
BERTRAND CHAFFEE HOSPITAL,330111,NY,Pneumonia (PN) 30-Day Readmissions,143,,1.1625,20.3,17.4,37,7/1/2008,6/30/2011
ONEIDA HEALTHCARE CENTER,330115,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,7,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
ONEIDA HEALTHCARE CENTER,330115,NY,Heart Failure (HF) 30-Day Readmissions,91,,1.0785,24.7,22.9,27,7/1/2008,6/30/2011
ONEIDA HEALTHCARE CENTER,330115,NY,Pneumonia (PN) 30-Day Readmissions,140,,1.1157,18.8,16.8,32,7/1/2008,6/30/2011
NS/LIJ HS LENOX HILL HOSPITAL,330119,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,474,,0.9984,19.6,19.7,93,7/1/2008,6/30/2011
NS/LIJ HS LENOX HILL HOSPITAL,330119,NY,Heart Failure (HF) 30-Day Readmissions,736,,1.1002,26.9,24.5,204,7/1/2008,6/30/2011
NS/LIJ HS LENOX HILL HOSPITAL,330119,NY,Pneumonia (PN) 30-Day Readmissions,510,,1.1342,21.0,18.5,114,7/1/2008,6/30/2011
ROCHESTER GENERAL HOSPITAL,330125,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,515,,1.0694,20.8,19.5,110,7/1/2008,6/30/2011
ROCHESTER GENERAL HOSPITAL,330125,NY,Heart Failure (HF) 30-Day Readmissions,819,,1.0364,25.6,24.7,212,7/1/2008,6/30/2011
ROCHESTER GENERAL HOSPITAL,330125,NY,Pneumonia (PN) 30-Day Readmissions,358,,1.1451,21.7,18.9,85,7/1/2008,6/30/2011
ORANGE REGIONAL MEDICAL CENTER,330126,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,264,,1.1578,24.5,21.2,71,7/1/2008,6/30/2011
ORANGE REGIONAL MEDICAL CENTER,330126,NY,Heart Failure (HF) 30-Day Readmissions,892,,1.1994,31.1,25.9,289,7/1/2008,6/30/2011
ORANGE REGIONAL MEDICAL CENTER,330126,NY,Pneumonia (PN) 30-Day Readmissions,879,,1.1832,23.8,20.1,219,7/1/2008,6/30/2011
JACOBI MEDICAL CENTER,330127,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,72,,1.3559,25.4,18.7,31,7/1/2008,6/30/2011
JACOBI MEDICAL CENTER,330127,NY,Heart Failure (HF) 30-Day Readmissions,162,,1.0852,25.3,23.4,46,7/1/2008,6/30/2011
JACOBI MEDICAL CENTER,330127,NY,Pneumonia (PN) 30-Day Readmissions,92,,1.1498,20.1,17.5,26,7/1/2008,6/30/2011
ELMHURST HOSPITAL CENTER,330128,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,114,,1.1067,20.1,18.2,27,7/1/2008,6/30/2011
ELMHURST HOSPITAL CENTER,330128,NY,Heart Failure (HF) 30-Day Readmissions,230,,1.2371,27.4,22.2,76,7/1/2008,6/30/2011
ELMHURST HOSPITAL CENTER,330128,NY,Pneumonia (PN) 30-Day Readmissions,231,,1.1256,18.1,16.1,48,7/1/2008,6/30/2011
TLC HEALTH NETWORK,330132,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,15,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
TLC HEALTH NETWORK,330132,NY,Heart Failure (HF) 30-Day Readmissions,92,,1.0223,23.6,23.1,23,7/1/2008,6/30/2011
TLC HEALTH NETWORK,330132,NY,Pneumonia (PN) 30-Day Readmissions,115,,1.0703,19.5,18.2,26,7/1/2008,6/30/2011
BON SECOURS COMMUNITY HOSPITAL,330135,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,51,,1.0562,26.6,25.2,16,7/1/2008,6/30/2011
BON SECOURS COMMUNITY HOSPITAL,330135,NY,Heart Failure (HF) 30-Day Readmissions,206,,0.9667,24.3,25.1,48,7/1/2008,6/30/2011
BON SECOURS COMMUNITY HOSPITAL,330135,NY,Pneumonia (PN) 30-Day Readmissions,160,,0.9627,19.4,20.2,29,7/1/2008,6/30/2011
BASSETT HEALTHCARE,330136,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,256,,0.9628,18.2,18.9,45,7/1/2008,6/30/2011
BASSETT HEALTHCARE,330136,NY,Heart Failure (HF) 30-Day Readmissions,392,,0.9994,24.8,24.8,97,7/1/2008,6/30/2011
BASSETT HEALTHCARE,330136,NY,Pneumonia (PN) 30-Day Readmissions,299,,0.9596,18.8,19.6,54,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1012,,1.1370,21.3,18.7,221,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,Heart Failure (HF) 30-Day Readmissions,1176,,1.0937,27.0,24.7,323,7/1/2008,6/30/2011
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,Pneumonia (PN) 30-Day Readmissions,1256,,1.1147,22.1,19.8,283,7/1/2008,6/30/2011
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,245,,1.1123,28.6,25.7,75,7/1/2008,6/30/2011
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,NY,Heart Failure (HF) 30-Day Readmissions,746,,1.1753,31.4,26.8,245,7/1/2008,6/30/2011
BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,330141,NY,Pneumonia (PN) 30-Day Readmissions,760,,1.2141,25.6,21.1,206,7/1/2008,6/30/2011
"IRA DAVENPORT MEMORIAL HOSPITAL, INC",330144,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,14,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
"IRA DAVENPORT MEMORIAL HOSPITAL, INC",330144,NY,Heart Failure (HF) 30-Day Readmissions,86,,1.0054,24.0,23.9,21,7/1/2008,6/30/2011
"IRA DAVENPORT MEMORIAL HOSPITAL, INC",330144,NY,Pneumonia (PN) 30-Day Readmissions,111,,1.0760,18.2,16.9,24,7/1/2008,6/30/2011
ST JAMES MERCY HOSPITAL,330151,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,31,,1.0358,24.1,23.2,9,7/1/2008,6/30/2011
ST JAMES MERCY HOSPITAL,330151,NY,Heart Failure (HF) 30-Day Readmissions,75,,0.9212,22.5,24.5,12,7/1/2008,6/30/2011
ST JAMES MERCY HOSPITAL,330151,NY,Pneumonia (PN) 30-Day Readmissions,218,,1.1808,22.0,18.6,57,7/1/2008,6/30/2011
ELLIS HOSPITAL,330153,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,561,,0.9619,18.3,19.0,101,7/1/2008,6/30/2011
ELLIS HOSPITAL,330153,NY,Heart Failure (HF) 30-Day Readmissions,965,,0.9644,22.6,23.4,216,7/1/2008,6/30/2011
ELLIS HOSPITAL,330153,NY,Pneumonia (PN) 30-Day Readmissions,507,,1.0408,18.5,17.8,96,7/1/2008,6/30/2011
SAMARITAN MEDICAL CENTER,330157,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,48,,0.9240,21.6,23.4,7,7/1/2008,6/30/2011
SAMARITAN MEDICAL CENTER,330157,NY,Heart Failure (HF) 30-Day Readmissions,384,,0.9382,22.9,24.4,84,7/1/2008,6/30/2011
SAMARITAN MEDICAL CENTER,330157,NY,Pneumonia (PN) 30-Day Readmissions,284,,0.9601,18.0,18.8,49,7/1/2008,6/30/2011
GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,523,,1.0583,19.8,18.7,106,7/1/2008,6/30/2011
GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,Heart Failure (HF) 30-Day Readmissions,606,,1.0664,26.9,25.2,167,7/1/2008,6/30/2011
GOOD SAMARITAN HOSPITAL OF SUFFERN,330158,NY,Pneumonia (PN) 30-Day Readmissions,352,,1.0190,19.6,19.2,70,7/1/2008,6/30/2011
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,469,,1.0017,20.7,20.6,97,7/1/2008,6/30/2011
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,Heart Failure (HF) 30-Day Readmissions,816,,0.9739,24.2,24.9,196,7/1/2008,6/30/2011
STATEN ISLAND UNIVERSITY HOSPITAL,330160,NY,Pneumonia (PN) 30-Day Readmissions,537,,1.0488,20.4,19.4,112,7/1/2008,6/30/2011
NORTHERN WESTCHESTER HOSPITAL,330162,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,55,,1.0055,21.4,21.3,12,7/1/2008,6/30/2011
NORTHERN WESTCHESTER HOSPITAL,330162,NY,Heart Failure (HF) 30-Day Readmissions,390,,1.0781,24.0,22.3,98,7/1/2008,6/30/2011
NORTHERN WESTCHESTER HOSPITAL,330162,NY,Pneumonia (PN) 30-Day Readmissions,377,,1.1768,20.0,17.0,84,7/1/2008,6/30/2011
EASTERN NIAGARA HOSPITAL,330163,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,81,,1.0780,23.3,21.6,22,7/1/2008,6/30/2011
EASTERN NIAGARA HOSPITAL,330163,NY,Heart Failure (HF) 30-Day Readmissions,232,,1.0016,23.2,23.2,54,7/1/2008,6/30/2011
EASTERN NIAGARA HOSPITAL,330163,NY,Pneumonia (PN) 30-Day Readmissions,306,,1.0819,18.9,17.5,62,7/1/2008,6/30/2011
HIGHLAND HOSPITAL,330164,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,67,,1.0041,20.6,20.6,14,7/1/2008,6/30/2011
HIGHLAND HOSPITAL,330164,NY,Heart Failure (HF) 30-Day Readmissions,305,,0.8855,21.7,24.5,59,7/1/2008,6/30/2011
HIGHLAND HOSPITAL,330164,NY,Pneumonia (PN) 30-Day Readmissions,322,,1.0091,18.2,18.0,59,7/1/2008,6/30/2011
"WESTFIELD MEMORIAL HOSPITAL, INC",330166,NY,Acute Myocardial Infarction (AMI) 30-Day Readmissions,1,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
"WESTFIELD MEMORIAL HOSPITAL, INC",330166,NY,Heart Failure (HF) 30-Day Readmissions,3,18,N/A,N/A,N/A,N/A,7/1/2008,6/30/2011
